date,gold,sp500,dxy,kospi200
2020-05,1718.6900146484375,2919.6084838867187,99.55300025939941,259.2589488782381
2020-06,1735.922735040838,3104.6609330610795,97.08772798018022,283.0354558771307
2020-07,1847.5409046519887,3207.6190962357955,95.51409114490856,291.188696819803
2020-08,1966.2380836123511,3391.7100190662204,93.0442857288179,311.903498840332
2020-09,1920.2761869884673,3365.516671316964,93.43714287167504,313.6895272391183
2020-10,1900.245450106534,3418.6999955610795,93.40636340054598,313.9731589869449
2020-11,1866.0799987792968,3548.99248046875,92.6195011138916,334.30714198521207
2020-12,1859.2954434481535,3695.3100142045455,90.51272721724077,370.7076168968564
2021-01,1865.1842169510692,3793.7484323601975,90.22631554854543,420.5300003051758
2021-02,1805.531584087171,3883.4321160567433,90.65157880281147,419.4961123996311
2021-03,1719.5173923658288,3910.5082795516305,92.00913039497708,412.50181857022375
2021-04,1759.7571440197173,4141.176199776785,91.58761887323288,427.7231805974787
2021-05,1850.6450073242188,4167.849536132812,90.31799964904785,423.65736790707234
2021-06,1834.1227361505682,4238.48954634233,91.03909128362483,434.3090931285511
2021-07,1805.5047607421875,4363.712797619048,92.52285802932013,431.9859092018821
2021-08,1785.231805974787,4453.965931285511,92.7999995838512,418.9319036574591
2021-09,1775.8999953497023,4445.543317522322,92.99238041469029,411.45789537931745
2021-10,1776.404750279018,4460.707077752976,93.95142800467355,390.9194769608347
2021-11,1819.499988374256,4667.386648995535,95.27095140729632,389.8486355868253
2021-12,1791.0454434481535,4674.772771661932,96.19000001387163,395.7290899103338
2022-01,1816.6399963378906,4573.815454101563,95.96649971008301,379.7389478181538
2022-02,1857.7420911287006,4435.980494449013,95.9968426353053,364.62444559733075
2022-03,1950.6739024286685,4391.265264096467,98.46695676057234,359.8685680571057
2022-04,1933.9300048828125,4391.29599609375,100.70849990844727,356.0952380952381
2022-05,1845.9380987258185,4040.3600027901784,103.16761888776507,347.62150115966796
2022-06,1834.547619047619,3898.9466843377977,103.8442862374442,325.8685028076172
2022-07,1729.8,3911.7294921875,107.03350028991699,312.1614249093192
2022-08,1762.4782608695652,4158.563083814538,107.1495653235394,324.84545482288706
2022-09,1678.6142868768602,3850.5204961867557,110.74333336239769,303.3289993286133
2022-10,1665.8380940755208,3726.050955636161,111.94142804827008,290.78736636513156
2022-11,1726.047630673363,3917.488595145089,108.14000047956195,313.8954523259943
2022-12,1797.1142868768602,3912.3809523809523,104.5028566632952,307.38809640066967
2023-01,1899.8349914550781,3960.656530761719,102.71199913024903,310.7095031738281
2023-02,1853.2368485300165,4079.6847245065787,103.66000004818565,320.8539978027344
2023-03,1912.9608685037365,3968.5591457201085,103.76739137069039,314.1859061501243
2023-04,2001.04736328125,4121.467362253289,101.764209948088,327.82350006103513
2023-05,1993.4227294921875,4146.1731955788355,102.70136295665394,330.8604965209961
2023-06,1941.652378627232,4345.372837611607,103.11190432593936,341.8838137672061
2023-07,1950.7649963378906,4508.07548828125,101.32749938964844,341.30333455403644
2023-08,1917.5565185546875,4457.358674422554,103.09652179220448,335.92136452414775
2023-09,1912.4099975585937,4409.094995117188,105.33149948120118,336.5447355571546
2023-10,1915.5681762695312,4269.400945490057,106.35318235917525,318.7805256090666
2023-11,1985.3714250837054,4460.063313802083,104.52809506370907,329.66227306019175
2023-12,2031.6749938964845,4685.051489257812,102.6830005645752,342.24105031866776
2024-01,2028.0428466796875,4804.491513206845,102.97476196289062,338.91954317959875
2024-02,2025.214990234375,5011.96142578125,104.10450096130371,353.99000308388156
2024-03,2161.8699951171875,5170.572485351562,103.62400093078614,364.8779998779297
2024-04,2332.590897993608,5112.492742365057,105.41181876442649,364.68047805059524
2024-05,2349.6318026455965,5235.225497159091,104.96500084616922,369.02999420166014
2024-06,2326.0789345189146,5415.140496504934,105.16684281198602,375.2984217593544
2024-07,2393.3363702947445,5538.004572088068,104.61045455932617,386.2056539784307
2024-08,2467.249988902699,5478.214577414773,102.21272693980823,360.2990461077009
2024-09,2572.869982910156,5621.26044921875,101.0185001373291,346.7066667344835
2024-10,2688.904349949049,5792.319548233696,103.31130450704823,345.3505004882812
2024-11,2649.8150146484377,5929.915991210937,105.84349975585937,331.9828563871838
2024-12,2643.5809500558034,6010.908551897322,107.18999989827473,323.8595001220703
2025-01,2722.9476260230654,5979.51552734375,108.60904729933966,332.4255540635851
2025-02,2897.1157997532896,6038.689967105263,107.35315744500411,341.3700012207031
2025-03,2986.4095284598216,5683.983351934524,104.18714287167504,344.35999908447263
2025-04,3211.152367001488,5369.495721726191,100.71761866978237,328.0277266068892
2025-05,3280.7380952380954,5810.919480096726,100.08318120783025,348.6426295230263
2025-06,3350.939990234375,6029.951513671875,98.36100006103516,395.73684371145146
2025-07,3341.808699898098,6296.498180042614,98.00272820212625,427.7986954398777
2025-08,3372.7428385416665,6408.949474516369,98.23999968029204,430.10750274658204
